Logits,Targets,Input_Lengths,Target_Lengths
"[[0.150702576485655, 0.23298116803285795, 0.8635874834318676, 0.30454727495024314, 0.46018884180761], [0.0796978726839086, 0.12418386352008304, 0.6507892330616736, 0.7109096006595003, 0.2091754662726354], [0.21650407870533717, 0.014310544679129844, 0.09539762032707666, 0.24972299908174056, 0.2877192925388352], [0.43653466322117973, 0.8752731585993904, 0.38107840262225734, 0.7292512321700869, 0.4726554515430125], [0.28921778341525317, 0.9238670475727018, 0.08006544879791888, 0.1864180418848458, 0.2001510546138735], [0.8320703766532539, 0.9887842738336926, 0.31663921428436614, 0.14759335687712083, 0.2764058042918873], [0.37003184391686594, 0.36016513285691043, 0.2683908044455907, 0.4810784181801452, 0.3492207746496403], [0.12873015298407675, 0.35676957326681313, 0.5353574111819673, 0.1332212463165393, 0.9398045719315842], [0.6891383545306443, 0.5185300835096901, 0.1273885935084048, 0.4240456021913329, 0.9034517624081789], [0.6490542277894771, 0.6502631047283702, 0.9099508357534011, 0.30668740631978475, 0.40239152817595625]]","2,3,4,2",10,4
"[[0.9170675957334289, 0.6050252344122516, 0.3272336675571593, 0.08612788067198429, 0.9897797524382098], [0.049378947344383084, 0.7095453124851184, 0.825639686583431, 0.633646059995451, 0.1100817372768581], [0.02092356986478361, 0.0778112506922507, 0.014186143233500315, 0.13154350999708353, 0.4711136672231073], [0.49836971348683756, 0.999415224947283, 0.6499221954522179, 0.06624754305666425, 0.582555586859573], [0.4997932891455952, 0.46379459519840505, 0.2138578335886413, 0.7967998798701919, 0.23724269410052023], [0.8314478999030128, 0.13022354386897939, 0.2515227838623093, 0.09009433371018671, 0.14600070423130151], [0.8612337705516018, 0.009095779069164145, 0.8469146465027336, 0.05322111428670151, 0.8817929569020041], [0.18134403447889325, 0.6896151042481041, 0.7656865394535968, 0.9338974603144881, 0.5504944381242889], [0.5710442995955733, 0.16571127130925312, 0.7757846423550655, 0.48191937478671165, 0.28287772723641724], [0.9183694223724187, 0.7290599906407588, 0.4511956129393272, 0.08926953011651417, 0.2151596516995672]]","4,4,3",10,3
"[[0.6933144877106212, 0.6538005885682071, 0.2183869497733416, 0.46186021569437397, 0.31441402668494756], [0.8595524442364155, 0.6570344410656932, 0.23233706852576386, 0.3524244540645144, 0.7343345519878627], [0.0597376131095384, 0.872332848214103, 0.8703041114821813, 0.5710417757813333, 0.39088984010679495], [0.6155799228962401, 0.6132903249942718, 0.32855483590007106, 0.7828610851156601, 0.03580427604136971], [0.9379808246482798, 0.22129470979223886, 0.0919548238182123, 0.5089996782837664, 0.8501753913650814], [0.26419790648803, 0.23289437839257376, 0.2586360503291846, 0.5962169704345093, 0.7187943530084961], [0.8972226239078501, 0.8091541327026552, 0.8950751418145256, 0.19832986266338304, 0.3185969352215233], [0.9467768068308017, 0.3677605040077575, 0.6625604569958474, 0.10790126376453979, 0.4040749495471152], [0.3675137305681214, 0.5043095286861415, 0.6421034135406063, 0.42165775658933313, 0.2763653432288752], [0.026975428353405495, 0.8681754936087073, 0.963629392000111, 0.31610127742628846, 0.7518521396758415]]","3,3,1,1,3",10,5
"[[0.049493539783810325, 0.03868438533916829, 0.27049704506771854, 0.13740332314866976, 0.07556812292487047], [0.9959115458977299, 0.4953274154763334, 0.7702323921490982, 0.4810406952799857, 0.10256134752914414], [0.7128345619140053, 0.9028003669081692, 0.20996601964215256, 0.812829943363546, 0.32463334902172936], [0.3276239195883818, 0.3564714138721995, 0.571372137137246, 0.7973083044996685, 0.8304831036983912], [0.27617599984325913, 0.15461417511854147, 0.4345990815643783, 0.7430573776282132, 0.23705831159849877], [0.4971782397128548, 0.4152946798483943, 0.17986487430483644, 0.3174402267691656, 0.8903243625115345], [0.6887493935908473, 0.4361486365736883, 0.1301277090695847, 0.05613804081928586, 0.6910846832379007], [0.5510451606807953, 0.29064752437678554, 0.6465881157742197, 0.664991025786503, 0.1700077393093905], [0.8593409612630926, 0.9002503924270745, 0.6181779566508813, 0.6488450145727451, 0.36122844442607493], [0.7646150111711172, 0.5084407233529804, 0.6364597214710064, 0.8703867907989312, 0.3440622706863816]]","1,3,4",10,3
"[[0.7624629276137348, 0.44254190292552575, 0.46144517183155087, 0.13151577017874372, 0.8754728763329103], [0.5959350973478085, 0.23945006350845321, 0.052522292102879176, 0.6964231119641815, 0.021779371220796873], [0.5061190146721344, 0.9451296931515952, 0.6887745185372952, 0.5973917522749703, 0.35277607625973284], [0.04620870322017734, 0.4453360102630112, 0.8609891840379289, 0.7647499920160549, 0.7501277334291948], [0.7908720904864932, 0.7946079839713457, 0.7365181190358977, 0.8168084287334935, 0.4255666722987649], [0.38126353491209697, 0.020299521399766762, 0.023678561411104138, 0.19224011038092215, 0.80791383295682], [0.23512362394282493, 0.7566124966760734, 0.7187694712667602, 0.7568235889666552, 0.5194287478206114], [0.07236626571188187, 0.3819713966453351, 0.5480237443824169, 0.5497653990442317, 0.726300172955545], [0.6231463006730223, 0.9886104236428152, 0.352685553938464, 0.5651392989493094, 0.8715483998280281], [0.27312873163388673, 0.09504329627936858, 0.4459707292327131, 0.7572123510112037, 0.12022173537815628]]","1,4,3,1,1,1",10,6
"[[0.8786198078623982, 0.18637360886336896, 0.3978028231466547, 0.09918394147404985, 0.8464378569886574], [0.7804802440612039, 0.5571614830940066, 0.5345699569249271, 0.9701933126903939, 0.7978949982317128], [0.7235605983232061, 0.5819431711088101, 0.2779627837173053, 0.6128543065433111, 0.1409632783384509], [0.07352720638087451, 0.7044854944285747, 0.29405464200717457, 0.684246566471204, 0.5253390886685587], [0.5744960665140534, 0.5953214530503769, 0.12356220959622743, 0.9742918306496183, 0.16965164380426678], [0.986558248402017, 0.45268648034122916, 0.5566983219444308, 0.11317668095692868, 0.7764266974674129], [0.025094273389345, 0.12038514108654053, 0.4672060495588318, 0.972787001703284, 0.9728515885025979], [0.15762581630100703, 0.19883318924028692, 0.38053496127194997, 0.43245643772203657, 0.7737809190624014], [0.44540068082703976, 0.8184353512535113, 0.48480111524381664, 0.32866630063816227, 0.916514945485248], [0.3145669137753765, 0.7797918490319622, 0.003466207659011844, 0.9431587110493815, 0.7895042045990103]]","1,3,3,4",10,4
"[[0.36768537298016457, 0.49267260656841716, 0.7763533996504258, 0.6276339698610077, 0.9322024241935378], [0.6907796956125789, 0.0814166005106195, 0.017666602186010127, 0.8245749412266127, 0.7732666952330517], [0.6953542393050028, 0.38011631784516053, 0.8082851759592542, 0.9645246851579716, 0.7885663860065647], [0.2792135774758321, 0.8759122557681764, 0.48085157758806096, 0.9186215917303148, 0.2284585631856183], [0.0640369308876444, 0.4848931940114013, 0.03430973862954301, 0.9991839538239338, 0.7047974287097083], [0.7917770524375933, 0.9928894135568159, 0.7363436730696612, 0.9453524933940989, 0.24093107202611197], [0.26280309573676364, 0.2143997846981366, 0.5295673460048702, 0.23434205395626095, 0.7858320200376931], [0.6796182336474968, 0.3710488923323314, 0.9678367177866127, 0.07740704978253021, 0.6215819738989408], [0.30723979334146856, 0.4573823970245571, 0.4576689988548651, 0.025840614688967256, 0.12535432356189535], [0.027848360641534065, 0.35143710040316856, 0.26817952901428266, 0.151957426824044, 0.04770657402575795]]","2,4,1,1,3,2,4,2,2,1",10,10
"[[0.44543132393302476, 0.8277509501743102, 0.8214892312156531, 0.9889850382829272, 0.7734693127495171], [0.5206122842049659, 0.5690913676938684, 0.7766834706172706, 0.8987045997636395, 0.17356256630711275], [0.30746665781441174, 0.12480459461896365, 0.7092419762507421, 0.35567757713773884, 0.039885111011745855], [0.7284683149516419, 0.9598801466015154, 0.6393473565070189, 0.39534835586468176, 0.04717152549734427], [0.4717200367867034, 0.4051696353265759, 0.12627882469796425, 0.42211848487616677, 0.40209176751895104], [0.563261404402583, 0.25315240774466474, 0.8692299708185658, 0.5916978090335101, 0.24047864544033315], [0.34599283766585953, 0.319367092547278, 0.7385209307808794, 0.19056012243747877, 0.7143481504231831], [0.9970463629602311, 0.27192555961436116, 0.5478381152398925, 0.10309139227567188, 0.9960875142054926], [0.1415001860171451, 0.6125303996142377, 0.4987188192208647, 0.17952292236193912, 0.9178186260983014], [0.5450731701399292, 0.373832322789699, 0.8292994963984629, 0.8833194839346831, 0.10602933418378035]]","4,3,3,2,2,2,4",10,7
"[[0.48999479759075437, 0.3559534576633697, 0.33285443397530956, 0.4859052767457176, 0.8349505442974938], [0.7224220067718762, 0.7443002635899872, 0.7233827182112109, 0.21911916620020255, 0.14345128487250625], [0.5387338014937137, 0.8368489656177928, 0.0050394160420528245, 0.6821602974573777, 0.3170288214695598], [0.2503644219576463, 0.9151975374975774, 0.5265430345917467, 0.7383650648524006, 0.44789433603809825], [0.5358511391303893, 0.269611700651634, 0.15262597807456302, 0.3739500655201964, 0.31694640980920097], [0.3454275865744868, 0.47479903084928343, 0.9644973505486967, 0.7219170734981639, 0.5634135257970926], [0.4044021233880921, 0.08875006786176354, 0.07086661616320644, 0.9854005483867512, 0.20938961527694466], [0.5553190956934526, 0.33140231196266334, 0.40287964180907765, 0.02999870657803405, 0.39003943428239707], [0.402432702683838, 0.41245778036454017, 0.7756653476380467, 0.4124271054218501, 0.7114583091639806], [0.13935463716481478, 0.22447358483326774, 0.603499791127574, 0.6743094010331127, 0.05269227478199179]]","1,4,4,2,4,2,1,4",10,8
"[[0.19904120459202312, 0.3162095262159057, 0.37518036574894364, 0.8791571347414456, 0.7231054405684881], [0.7430417057219915, 0.19233659742019593, 0.9431119765974693, 0.32752936284209044, 0.6802045931636216], [0.9315697815627563, 0.8255463046353773, 0.6939415830553675, 0.06938736773563503, 0.4586831771768095], [0.46433375160180224, 0.9452114334276052, 0.41141063472868433, 0.5177742812514324, 0.5003671803331167], [0.5657462955471783, 0.08851596411708207, 0.22067416722188493, 0.8333313279262532, 0.7097634698640849], [0.8208997005416987, 0.6192730010846106, 0.3345243479220674, 0.862663373418989, 0.9650354202612457], [0.9405136758939054, 0.2029752670078434, 0.809652090761595, 0.7112551913845415, 0.8073432855249593], [0.8951919952785355, 0.8207372023206573, 0.12408776255124054, 0.10897353943027255, 0.9892322252765489], [0.7154284685959269, 0.1851683443821609, 0.21433394925910454, 0.2510720540936565, 0.025194530755626166], [0.20195807007446576, 0.593383977130778, 0.19360100995895135, 0.05828375331288782, 0.3256932463050811]]","2,2,3,1,4,2,2",10,7
